2026-08-12 01:54:42,514 | INFO | session=1181a11b | cameo_extraction_unavailable | {"assemblies": {"CNCMaps.FileFormats.dll": false, "CNCMaps.Shared.dll": false, "NLog.dll": false}}
2026-08-12 01:54:42,555 | INFO | session=1181a11b | cameo_extraction_unavailable | {"assemblies": {"CNCMaps.FileFormats.dll": false, "CNCMaps.Shared.dll": false, "NLog.dll": false}}
2026-08-12 01:54:42,605 | INFO | session=1181a11b | self_check_finished | {"abrams_cameo_extracted": false, "abrams_cameo_path": "", "access_catalog_entries": 279, "access_catalog_valid": true, "all_buff_caps_valid": true, "app_version": "0.1-dta", "application_imported": true, "archipelago_client_contract_valid": true, "archipelago_websockets_version": "17.0", "deploy_clone_link_gaps": [], "deploy_clone_links_valid": true, "deterministic_seed_rng_works": true, "diagnostic_log": "C:\\Spiele\\Dawn of the Tiberium Age\\RandomizerLauncher\\logs\\launcher.log", "enemy_scaling_contract_valid": true, "engineering_team_power_valid": false, "equivalent_buff_access_isolation_valid": true, "game_root": "C:\\Spiele\\Dawn of the Tiberium Age", "gamemd_exists": true, "geneburst_power_valid": true, "hidden_passenger_payloads": {"SALA": {"capacity": 4, "payload_counts": [3, 1], "payload_size": 4, "payload_types": ["MORPSALA_1", "MORPSALA_2"]}, "STHOR": {"capacity": 28, "payload_counts": [5, 5, 1], "payload_size": 28, "payload_types": ["MORPGGI", "MORPENFO", "MORPHCRUIS"]}}, "hidden_passenger_payloads_valid": true, "house_wide_buff_policy": {"all_production_direct_results": {"E1": {"production": 1}, "HTNK": {"production": 1}}, "house_wide_scopes": [["All", "production"]], "individual_direct_results": {"armor": ["STARDUSTB"], "cost": ["STARDUSTB"], "damage": ["STARDUSTB"], "health": ["STARDUSTB"], "production": ["STARDUSTB"]}}, "house_wide_buff_policy_valid": true, "lightning_storm_cameo_extracted": false, "lightning_storm_cameo_path": "", "limited_hero_build_limits": {"command_capacity_rewards": 27, "types": 27, "unit_ids": ["ARMR", "ASSN", "BORIS", "CBRIS", "CHITZ", "CNTR", "DHANDL", "EUREKA", "GOTTER", "HEPH", "KRUKOV", "LIBRA", "MORALES", "PERUN", "REZNOV", "RHAD", "SHINBOT", "SIBFIN", "SICALI", "SIEG", "STARDUSTB", "TANY", "UNDER", "URAGAN", "VOLKOV", "YUNRU", "YURIX2"]}, "limited_hero_build_limits_valid": true, "map_renderer_exists": true, "missing_runtime_symbols": [], "mission_reward_multipliers_valid": false, "moon_reinforcements_initial_cooldown_valid": true, "ore_purifier_miner_docks": {"miner_ids": ["MORPCMIN", "MORPHARV", "MORPNMIN", "MORPYMIN"], "purifier_id": "MORPGAOREP", "runtime_issues": [], "runtime_missing": [], "static_missing": []}, "ore_purifier_miner_docks_valid": true, "original_refinery_contract": {"issues": ["GAREFN is unregistered", "GAREFN has 0 free units", "CMIN cannot dock at GAREFN", "NAREFN is unregistered", "NAREFN has 0 free units", "HARV cannot dock at NAREFN", "YARIREFN is unregistered", "YARIREFN has 0 free units", "YMIN cannot dock at YARIREFN", "FAREFN is unregistered", "FAREFN has 0 free units", "NMIN cannot dock at FAREFN"], "pairs": {"FAREFN": {"free_unit_count": 0, "miner": "NMIN"}, "GAREFN": {"free_unit_count": 0, "miner": "CMIN"}, "NAREFN": {"free_unit_count": 0, "miner": "HARV"}, "YARIREFN": {"free_unit_count": 0, "miner": "YMIN"}}}, "original_refinery_contract_valid": false, "passed": false, "portable_aid_powers_valid": true, "randomizer_arsenal_contract_valid": true, "randomizer_unit_health": {"hands_of_ereshkigal": {"DHANDL": {"armor": "f_heroic", "normal_damage_and_death": true, "pixel_selection_bracket_delta": 0, "strength": 3000, "visible_health_bar": true, "weapons_movement_art_preserved": true}, "DHANDR": {"armor": "f_heroic", "normal_damage_and_death": true, "pixel_selection_bracket_delta": 0, "strength": 3000, "visible_health_bar": true, "weapons_movement_art_preserved": true}}, "maximum_strength": 6000, "minimum_strength": 10, "types": 301}, "randomizer_unit_health_valid": true, "randomizer_unit_roster_paths": ["C:\\Spiele\\Dawn of the Tiberium Age\\RandomizerLauncher\\configs\\RandomizerInfantry.ini", "C:\\Spiele\\Dawn of the Tiberium Age\\RandomizerLauncher\\configs\\RandomizerHeroes.ini", "C:\\Spiele\\Dawn of the Tiberium Age\\RandomizerLauncher\\configs\\RandomizerVehicles.ini", "C:\\Spiele\\Dawn of the Tiberium Age\\RandomizerLauncher\\configs\\RandomizerShips.ini", "C:\\Spiele\\Dawn of the Tiberium Age\\RandomizerLauncher\\configs\\RandomizerAircraft.ini", "C:\\Spiele\\Dawn of the Tiberium Age\\RandomizerLauncher\\configs\\RandomizerDefensesAndSpecialBuildings.ini"], "randomizer_unit_roster_valid": true, "reprocessor_bounty_support": {"eligible_counts": {"Allies": 67, "Epsilon": 58, "Foehn": 49, "Soviets": 69}, "excluded_unit_ids": {"Allies": ["DIVERP", "SHAD", "STHOR"], "Epsilon": ["SALA_1", "SALA_2", "SMIN"], "Foehn": ["DIVER", "MAD"], "Soviets": ["BORIS", "DBOAT"]}, "native_parity": {"empulse_cannon": true, "native_prerequisite": true, "power": true, "powered": true, "superweapon": true}, "representative_results": {"Allies": true, "Epsilon": true, "Foehn": true, "Soviets": true}, "representatives": {"Allies": "E1", "Epsilon": "INIT", "Foehn": "KNIGHT", "Soviets": "E2"}, "runtime_enablers": ["FAREPR", "MORPFAREPR"]}, "reprocessor_bounty_support_valid": true, "reviewed_vehicle_identities": {"abrams_matches_passenger_free_original": true, "chrono_prison_sealed_passenger_contract": true, "identities": {"MECHA": {"cameo": "tengu.pcx", "clone": "MORPMECHA", "image": "MECHA", "name": "Robo Tengu", "special": true, "ui_name": "NAME:MECHA"}, "RAMW": {"cameo": null, "clone": "MORPRAMW", "image": "RAMW", "name": "Ramwagon", "special": true, "ui_name": "NAME:RAMW"}, "TENGU": {"cameo": "tsuricon.pcx", "clone": "MORPTENGU", "image": "TENGU", "name": "Tsurugi Powersuit", "special": false, "ui_name": "NAME:TENGU"}}}, "reviewed_vehicle_identities_valid": true, "reward_weight_connections_valid": true, "runtime_data_writable": true, "shin_allied_tech_valid": true, "special_reward_build_times": {"effective_multipliers": {"AHVYBOT": 1.0, "AHVYBOT2": 1.0, "AHVYBOT2B": 1.0, "ARCH": 1.0, "ARCH2": 1.0, "ARTY": 1.0, "BORIS": 1.0, "CBRIS": 2.0, "CHRP": 1.0, "CYBO": 1.0, "CZEP": 1.0, "DHANDL": 1.0, "DHANDR": 1.0, "DIVERP": 1.0, "GHTNKP": 0.85, "GRAV": 1.0, "GRUMBLE": 1.0, "HEPH": 1.0, "ICBM": 1.0, "IDRAG": 1.0, "ITNK": 1.0, "JACKALP": 1.0, "KRUKOV": 2.0, "KSNK": 1.0, "LIONH": 1.0, "LONGBO": 1.0, "LUNR": 1.0, "LUNRE": 1.0, "MADU": 1.0, "MAMM": 1.0, "MAMU": 1.0, "MECHA": 1.0, "NACLONS": 1.0, "NAGRUM": 1.0, "NAPSIS": 1.25, "OTRK": 1.0, "PANTHER": 1.0, "PERUN": 1.0, "PHNT": 1.0, "PROMEP": 1.0, "QUICK": 1.0, "RAMW": 1.0, "RANGER": 1.0, "REJU": 1.0, "REZNOV": 2.0, "RHAD": 2.0, "ROACHP": 1.0, "SALA": 1.0, "SALA_1": 1.0, "SALA_2": 1.0, "SEITAAD": 1.0, "SEIZER": 1.0, "SHINBOT": 1.0, "STARDUSTB": 1.0, "STHOR": 1.0, "SYCKLE": 0.5, "TARCHIAP": 1.0, "TRACTOR": 1.0, "V2": 1.0, "WORMQ": 1.0, "YURIX2": 2.0}, "max_effective_multiplier": 2.0, "types": 61, "unit_ids": ["AHVYBOT", "AHVYBOT2", "AHVYBOT2B", "ARCH", "ARCH2", "ARTY", "BORIS", "CBRIS", "CHRP", "CYBO", "CZEP", "DHANDL", "DHANDR", "DIVERP", "GHTNKP", "GRAV", "GRUMBLE", "HEPH", "ICBM", "IDRAG", "ITNK", "JACKALP", "KRUKOV", "KSNK", "LIONH", "LONGBO", "LUNR", "LUNRE", "MADU", "MAMM", "MAMU", "MECHA", "NACLONS", "NAGRUM", "NAPSIS", "OTRK", "PANTHER", "PERUN", "PHNT", "PROMEP", "QUICK", "RAMW", "RANGER", "REJU", "REZNOV", "RHAD", "ROACHP", "SALA", "SALA_1", "SALA_2", "SEITAAD", "SEIZER", "SHINBOT", "STARDUSTB", "STHOR", "SYCKLE", "TARCHIAP", "TRACTOR", "V2", "WORMQ", "YURIX2"]}, "special_reward_build_times_valid": true, "special_roster_contracts": {"access_counts": {"CBRIS": 1, "STARDUSTB": 1, "YURIX2": 1}, "boomer_brute_excluded": true, "clone_ids": {"CBRIS": "MORPCBRIS", "STARDUSTB": "MORPSTARDUSTB", "YURIX2": "MORPYURIX2"}, "paradox_ai_alias_excluded": true, "paradox_cameo": {"art_id": "STARDUST", "image": "paradox_engine.png", "pcx": "morparadoxicon.pcx"}, "paradox_source_id": "STARDUSTB", "registrations": {"CBRIS": [["RandomizerHeroes.ini", "310030"]], "STARDUSTB": [["RandomizerHeroes.ini", "310042"]], "YURIX2": [["RandomizerHeroes.ini", "310038"]]}, "space_commando_theater_gate_removed": true, "special_yuri_cameo": {"art_id": "YURIX", "source_pcx": "yuriicon.pcx"}, "special_yuri_source_id": "YURIX2"}, "special_roster_contracts_valid": true, "starting_unlock_catalogue_valid": true, "static_config_paths": ["C:\\Spiele\\Dawn of the Tiberium Age\\RandomizerLauncher\\configs\\default_player_config.json", "C:\\Spiele\\Dawn of the Tiberium Age\\RandomizerLauncher\\configs\\missions.json", "C:\\Spiele\\Dawn of the Tiberium Age\\RandomizerLauncher\\configs\\map_rules.json", "C:\\Spiele\\Dawn of the Tiberium Age\\RandomizerLauncher\\configs\\factions.json", "C:\\Spiele\\Dawn of the Tiberium Age\\RandomizerLauncher\\configs\\tier_one.json", "C:\\Spiele\\Dawn of the Tiberium Age\\RandomizerLauncher\\configs\\ui.json", "C:\\Spiele\\Dawn of the Tiberium Age\\RandomizerLauncher\\configs\\rewards\\unit_data.json", "C:\\Spiele\\Dawn of the Tiberium Age\\RandomizerLauncher\\configs\\rewards\\catalogue.json", "C:\\Spiele\\Dawn of the Tiberium Age\\RandomizerLauncher\\configs\\rewards\\tuning.json", "C:\\Spiele\\Dawn of the Tiberium Age\\RandomizerLauncher\\configs\\rewards\\unit_policy.json", "C:\\Spiele\\Dawn of the Tiberium Age\\RandomizerLauncher\\configs\\rewards\\special_buildings.json", "C:\\Spiele\\Dawn of the Tiberium Age\\RandomizerLauncher\\configs\\rewards\\buff_exceptions.json", "C:\\Spiele\\Dawn of the Tiberium Age\\RandomizerLauncher\\configs\\rewards\\power_buffs.json", "C:\\Spiele\\Dawn of the Tiberium Age\\RandomizerLauncher\\configs\\rewards\\enemy_scaling.json"], "static_configs_valid": true, "syringe_exists": true, "transport_buff_eligibility": {"engineer_clone_identity_ids": ["ENGINEER", "FENGINEER", "SENGINEER", "YENGINEER"], "gunner_ids": ["AMC", "FV", "STING", "STNK", "TENGU", "TRACTOR"], "hidden_weapon_passenger_capacity_excluded": ["SALA", "STHOR"], "native_open_topped_ids": ["APOC", "BFRT", "CNTR", "JACKAL", "JACKALP", "SHINBOT", "STHOR"], "rhino_ammo_migrated_to_reload": true, "stallion_capacity_enabled": true, "stallion_open_topped_excluded": true}, "transport_buff_eligibility_valid": true, "unit_buff_applications": {"all_change_generated_rules": true, "buff_types": {"ammo": 59, "armor": 275, "build_limit": 27, "building_limit": 5, "cloak": 250, "cost": 275, "damage": 199, "health": 275, "open_topped": 13, "passenger_capacity": 20, "production": 275, "range": 221, "reload": 198, "self_healing": 158, "sensors": 230, "sight": 275, "speed": 187, "veteran": 217}, "rewards": 3159}, "unit_buff_applications_valid": true, "window_icon_exists": true, "zephyr_bombardment_enabled_valid": true}
2026-08-12 01:55:33,940 | INFO | session=00fd90be | launcher_started | {"executable": "C:\\Users\\jessy\\AppData\\Local\\Python\\pythoncore-3.14-64\\python.exe", "frozen": false, "game_root": "C:\\Spiele\\Dawn of the Tiberium Age", "python": "3.14.6", "version": "0.1-dta", "windows": "sys.getwindowsversion(major=10, minor=0, build=26200, platform=2, service_pack='')"}
2026-08-12 01:55:33,982 | INFO | session=00fd90be | self_check_finished | {"all_mission_maps_exist": true, "app_version": "0.1-dta", "battle_ini_exists": true, "diagnostic_log": "C:\\Spiele\\Dawn of the Tiberium Age\\RandomizerLauncher\\logs\\launcher.log", "dta_reward_adapter_status": "not enabled until DTA reward semantics are verified", "engine": "Tiberian Sun + Vinifera", "game": "Dawn of the Tiberium Age", "game_exe_exists": true, "game_root": "C:\\Spiele\\Dawn of the Tiberium Age", "generated_map_enables_score_screen": true, "generated_map_has_difficulty_overlay": true, "launchvinifera_exists": true, "missing_mission_maps": [], "mission_count": 81, "mission_counts_by_faction": {"Allies": 37, "GDI": 18, "Nod": 5, "Soviet": 21}, "mo_map_rules_isolated": true, "original_map_unchanged": true, "passed": true, "rules_ini_exists": true, "spawn_contract_valid": true, "static_configs_valid": true, "vinifera_exists": true, "window_icon_exists": true}
2026-08-12 01:57:59,946 | INFO | session=895869f2 | launcher_started | {"executable": "C:\\Users\\jessy\\AppData\\Local\\Python\\pythoncore-3.14-64\\python.exe", "frozen": false, "game_root": "C:\\Spiele\\Dawn of the Tiberium Age", "python": "3.14.6", "version": "0.1-dta", "windows": "sys.getwindowsversion(major=10, minor=0, build=26200, platform=2, service_pack='')"}
2026-08-12 02:02:38,834 | INFO | session=7b55a81a | launcher_started | {"executable": "C:\\Users\\jessy\\AppData\\Local\\Python\\pythoncore-3.14-64\\python.exe", "frozen": false, "game_root": "C:\\Spiele\\Dawn of the Tiberium Age", "python": "3.14.6", "version": "0.1-dta", "windows": "sys.getwindowsversion(major=10, minor=0, build=26200, platform=2, service_pack='')"}
2026-08-12 02:02:39,087 | INFO | session=51cc281c | launcher_started | {"executable": "C:\\Users\\jessy\\AppData\\Local\\Python\\pythoncore-3.14-64\\python.exe", "frozen": false, "game_root": "C:\\Spiele\\Dawn of the Tiberium Age", "python": "3.14.6", "version": "0.1-dta", "windows": "sys.getwindowsversion(major=10, minor=0, build=26200, platform=2, service_pack='')"}
2026-08-12 02:02:39,124 | INFO | session=51cc281c | self_check_finished | {"all_mission_maps_exist": true, "app_version": "0.1-dta", "battle_ini_exists": true, "diagnostic_log": "C:\\Spiele\\Dawn of the Tiberium Age\\RandomizerLauncher\\logs\\launcher.log", "dta_reward_adapter_status": "not enabled until DTA reward semantics are verified", "engine": "Tiberian Sun + Vinifera", "game": "Dawn of the Tiberium Age", "game_exe_exists": true, "game_root": "C:\\Spiele\\Dawn of the Tiberium Age", "generated_map_enables_score_screen": true, "generated_map_has_difficulty_overlay": true, "launchvinifera_exists": true, "missing_mission_maps": [], "mission_count": 81, "mission_counts_by_faction": {"Allies": 37, "GDI": 18, "Nod": 5, "Soviet": 21}, "mo_map_rules_isolated": true, "original_map_unchanged": true, "passed": true, "rules_ini_exists": true, "spawn_contract_valid": true, "static_configs_valid": true, "vinifera_exists": true, "window_icon_exists": true}
2026-08-12 02:09:42,156 | INFO | session=9c4a3000 | launcher_started | {"executable": "C:\\Users\\jessy\\AppData\\Local\\Python\\pythoncore-3.14-64\\python.exe", "frozen": false, "game_root": "C:\\Spiele\\Dawn of the Tiberium Age", "python": "3.14.6", "version": "0.1-dta", "windows": "sys.getwindowsversion(major=10, minor=0, build=26200, platform=2, service_pack='')"}
2026-08-12 02:09:42,219 | INFO | session=9c4a3000 | self_check_finished | {"all_mission_maps_exist": true, "app_version": "0.1-dta", "battle_ini_exists": true, "diagnostic_log": "C:\\Spiele\\Dawn of the Tiberium Age\\RandomizerLauncher\\logs\\launcher.log", "dta_reward_adapter_status": "not enabled until DTA reward semantics are verified", "engine": "Tiberian Sun + Vinifera", "game": "Dawn of the Tiberium Age", "game_exe_exists": true, "game_root": "C:\\Spiele\\Dawn of the Tiberium Age", "generated_map_enables_score_screen": true, "generated_map_has_difficulty_overlay": true, "launchvinifera_exists": true, "missing_mission_maps": [], "mission_count": 81, "mission_counts_by_faction": {"Allies": 37, "GDI": 18, "Nod": 5, "Soviet": 21}, "mo_map_rules_isolated": true, "original_map_unchanged": true, "passed": true, "rules_ini_exists": true, "spawn_contract_valid": true, "static_configs_valid": true, "vinifera_exists": true, "window_icon_exists": true}
2026-08-12 02:10:09,111 | INFO | session=2ceeae30 | launcher_started | {"executable": "C:\\Users\\jessy\\AppData\\Local\\Python\\pythoncore-3.14-64\\python.exe", "frozen": false, "game_root": "C:\\Spiele\\Dawn of the Tiberium Age", "python": "3.14.6", "version": "0.1-dta", "windows": "sys.getwindowsversion(major=10, minor=0, build=26200, platform=2, service_pack='')"}
2026-08-12 02:10:09,203 | INFO | session=2ceeae30 | self_check_finished | {"all_mission_maps_exist": true, "app_version": "0.1-dta", "battle_ini_exists": true, "diagnostic_log": "C:\\Spiele\\Dawn of the Tiberium Age\\RandomizerLauncher\\logs\\launcher.log", "dta_reward_adapter_status": "not enabled until DTA reward semantics are verified", "engine": "Tiberian Sun + Vinifera", "game": "Dawn of the Tiberium Age", "game_exe_exists": true, "game_root": "C:\\Spiele\\Dawn of the Tiberium Age", "generated_map_enables_score_screen": true, "generated_map_has_difficulty_overlay": true, "launchvinifera_exists": true, "missing_mission_maps": [], "mission_count": 81, "mission_counts_by_faction": {"Allies": 37, "GDI": 18, "Nod": 5, "Soviet": 21}, "mo_map_rules_isolated": true, "original_map_unchanged": true, "passed": true, "rules_ini_exists": true, "spawn_contract_valid": true, "static_configs_valid": true, "vinifera_exists": true, "window_icon_exists": true}
2026-08-12 02:16:43,259 | INFO | session=7e88e515 | launcher_started | {"executable": "C:\\Users\\jessy\\AppData\\Local\\Python\\pythoncore-3.14-64\\python.exe", "frozen": false, "game_root": "C:\\Spiele\\Dawn of the Tiberium Age", "python": "3.14.6", "version": "0.1-dta", "windows": "sys.getwindowsversion(major=10, minor=0, build=26200, platform=2, service_pack='')"}
2026-08-12 02:16:43,364 | INFO | session=7e88e515 | self_check_finished | {"all_mission_maps_exist": true, "app_version": "0.1-dta", "battle_ini_exists": true, "diagnostic_log": "C:\\Spiele\\Dawn of the Tiberium Age\\RandomizerLauncher\\logs\\launcher.log", "dta_buildable_type_count": 214, "dta_catalogue_type_count": 865, "dta_e1_cameo_extracted": true, "dta_reward_adapter_status": "broad player-house modifiers enabled; unit-specific clone routing disabled pending live Vinifera verification", "dta_reward_pool": ["Player Army Drill I", "Player Army Logistics I", "Player Army Mobility I", "Player Army Armor Plating I", "Player Army Firepower I", "Player Army Weapon Tuning I"], "engine": "Tiberian Sun + Vinifera", "game": "Dawn of the Tiberium Age", "game_exe_exists": true, "game_root": "C:\\Spiele\\Dawn of the Tiberium Age", "generated_map_enables_score_screen": true, "generated_map_has_difficulty_overlay": true, "launchvinifera_exists": true, "legacy_map_rules_isolated": true, "map_unit_preservation_policy_active": true, "missing_mission_maps": [], "mission_count": 81, "mission_counts_by_faction": {"Allies": 37, "GDI": 18, "Nod": 5, "Soviet": 21}, "original_map_unchanged": true, "passed": true, "player_firepower_modifier_works": true, "rules_ini_exists": true, "safe_reward_pool_only": true, "spawn_contract_valid": true, "static_configs_valid": true, "vinifera_exists": true, "window_icon_exists": true}
2026-08-12 02:16:49,005 | INFO | session=8d27291d | launcher_started | {"executable": "C:\\Users\\jessy\\AppData\\Local\\Python\\pythoncore-3.14-64\\python.exe", "frozen": false, "game_root": "C:\\Spiele\\Dawn of the Tiberium Age", "python": "3.14.6", "version": "0.1-dta", "windows": "sys.getwindowsversion(major=10, minor=0, build=26200, platform=2, service_pack='')"}
2026-08-12 02:16:49,115 | INFO | session=8d27291d | self_check_finished | {"all_mission_maps_exist": true, "app_version": "0.1-dta", "battle_ini_exists": true, "diagnostic_log": "C:\\Spiele\\Dawn of the Tiberium Age\\RandomizerLauncher\\logs\\launcher.log", "dta_buildable_type_count": 214, "dta_catalogue_type_count": 865, "dta_e1_cameo_extracted": true, "dta_reward_adapter_status": "broad player-house modifiers enabled; unit-specific clone routing disabled pending live Vinifera verification", "dta_reward_pool": ["Player Army Drill I", "Player Army Logistics I", "Player Army Mobility I", "Player Army Armor Plating I", "Player Army Firepower I", "Player Army Weapon Tuning I"], "engine": "Tiberian Sun + Vinifera", "game": "Dawn of the Tiberium Age", "game_exe_exists": true, "game_root": "C:\\Spiele\\Dawn of the Tiberium Age", "generated_map_enables_score_screen": true, "generated_map_has_difficulty_overlay": true, "launchvinifera_exists": true, "legacy_map_rules_isolated": true, "map_unit_preservation_policy_active": true, "missing_mission_maps": [], "mission_count": 81, "mission_counts_by_faction": {"Allies": 37, "GDI": 18, "Nod": 5, "Soviet": 21}, "original_map_unchanged": true, "passed": true, "player_firepower_modifier_works": true, "rules_ini_exists": true, "safe_reward_pool_only": true, "spawn_contract_valid": true, "static_configs_valid": true, "vinifera_exists": true, "window_icon_exists": true}
2026-08-12 02:22:32,862 | INFO | session=3fb6e22c | launcher_started | {"executable": "C:\\Users\\jessy\\AppData\\Local\\Python\\pythoncore-3.14-64\\python.exe", "frozen": false, "game_root": "C:\\Spiele\\Dawn of the Tiberium Age", "python": "3.14.6", "version": "0.1.0", "windows": "sys.getwindowsversion(major=10, minor=0, build=26200, platform=2, service_pack='')"}
2026-08-12 02:22:33,109 | INFO | session=f8ebd8c2 | launcher_started | {"executable": "C:\\Users\\jessy\\AppData\\Local\\Python\\pythoncore-3.14-64\\python.exe", "frozen": false, "game_root": "C:\\Spiele\\Dawn of the Tiberium Age", "python": "3.14.6", "version": "0.1.0", "windows": "sys.getwindowsversion(major=10, minor=0, build=26200, platform=2, service_pack='')"}
2026-08-12 02:22:33,204 | INFO | session=f8ebd8c2 | self_check_finished | {"all_mission_maps_exist": true, "app_version": "0.1.0", "battle_ini_exists": true, "diagnostic_log": "C:\\Spiele\\Dawn of the Tiberium Age\\RandomizerLauncher\\logs\\launcher.log", "dta_buildable_type_count": 214, "dta_catalogue_type_count": 865, "dta_e1_cameo_extracted": true, "dta_reward_adapter_status": "broad player-house modifiers enabled; unit-specific clone routing disabled pending live Vinifera verification", "dta_reward_pool": ["Player Army Drill I", "Player Army Logistics I", "Player Army Mobility I", "Player Army Armor Plating I", "Player Army Firepower I", "Player Army Weapon Tuning I"], "engine": "Tiberian Sun + Vinifera", "game": "Dawn of the Tiberium Age", "game_exe_exists": true, "game_root": "C:\\Spiele\\Dawn of the Tiberium Age", "generated_map_enables_score_screen": true, "generated_map_has_difficulty_overlay": true, "launchvinifera_exists": true, "legacy_map_rules_isolated": true, "map_unit_preservation_policy_active": true, "missing_mission_maps": [], "mission_count": 81, "mission_counts_by_faction": {"Allies": 37, "GDI": 18, "Nod": 5, "Soviet": 21}, "original_map_unchanged": true, "passed": true, "player_armor_modifier_works": true, "player_firepower_modifier_works": true, "rules_ini_exists": true, "safe_reward_pool_only": true, "spawn_contract_valid": true, "static_configs_valid": true, "vinifera_exists": true, "window_icon_exists": true}
2026-08-12 02:23:54,469 | INFO | session=5aa132cc | launcher_started | {"executable": "C:\\Users\\jessy\\AppData\\Local\\Python\\pythoncore-3.14-64\\python.exe", "frozen": false, "game_root": "C:\\Spiele\\Dawn of the Tiberium Age", "python": "3.14.6", "version": "0.1.0", "windows": "sys.getwindowsversion(major=10, minor=0, build=26200, platform=2, service_pack='')"}
2026-08-12 02:28:30,756 | INFO | session=2ef4434a | launcher_started | {"executable": "C:\\Users\\jessy\\AppData\\Local\\Python\\pythoncore-3.14-64\\python.exe", "frozen": false, "game_root": "C:\\Spiele\\Dawn of the Tiberium Age", "python": "3.14.6", "version": "0.1.0", "windows": "sys.getwindowsversion(major=10, minor=0, build=26200, platform=2, service_pack='')"}
2026-08-12 02:28:31,026 | INFO | session=2ef4434a | self_check_finished | {"all_mission_maps_exist": true, "app_version": "0.1.0", "authored_map_modifier_preserved": true, "battle_ini_exists": true, "diagnostic_log": "C:\\Spiele\\Dawn of the Tiberium Age\\RandomizerLauncher\\logs\\launcher.log", "dta_buildable_type_count": 214, "dta_catalogue_type_count": 865, "dta_e1_cameo_extracted": true, "dta_reward_adapter_status": "broad player-house modifiers enabled; unit-specific clone routing disabled pending live Vinifera verification", "dta_reward_pool": ["Player Army Drill I", "Player Army Logistics I", "Player Army Mobility I", "Player Army Armor Plating I", "Player Army Firepower I", "Player Army Weapon Tuning I"], "engine": "Tiberian Sun + Vinifera", "game": "Dawn of the Tiberium Age", "game_exe_exists": true, "game_root": "C:\\Spiele\\Dawn of the Tiberium Age", "generated_map_enables_score_screen": true, "generated_map_has_difficulty_overlay": true, "launchvinifera_exists": true, "legacy_map_rules_isolated": true, "map_unit_preservation_policy_active": true, "missing_mission_maps": [], "mission_count": 81, "mission_counts_by_faction": {"Allies": 37, "GDI": 18, "Nod": 5, "Soviet": 21}, "original_map_unchanged": true, "passed": true, "player_armor_modifier_works": true, "player_firepower_modifier_works": true, "rules_ini_exists": true, "safe_reward_pool_only": true, "spawn_contract_valid": true, "static_configs_valid": true, "vinifera_exists": true, "window_icon_exists": true}
2026-08-12 02:30:02,900 | INFO | session=8e2c0cf2 | launcher_started | {"executable": "C:\\Users\\jessy\\AppData\\Local\\Python\\pythoncore-3.14-64\\python.exe", "frozen": false, "game_root": "C:\\Spiele\\Dawn of the Tiberium Age", "python": "3.14.6", "version": "0.1.0", "windows": "sys.getwindowsversion(major=10, minor=0, build=26200, platform=2, service_pack='')"}
2026-08-12 02:30:03,175 | INFO | session=8e2c0cf2 | self_check_finished | {"all_mission_maps_exist": true, "app_version": "0.1.0", "authored_map_modifier_preserved": true, "battle_ini_exists": true, "diagnostic_log": "C:\\Spiele\\Dawn of the Tiberium Age\\RandomizerLauncher\\logs\\launcher.log", "dta_buildable_type_count": 214, "dta_catalogue_type_count": 865, "dta_e1_cameo_extracted": true, "dta_reward_adapter_status": "broad player-house modifiers enabled; unit-specific clone routing disabled pending live Vinifera verification", "dta_reward_pool": ["Player Army Drill I", "Player Army Logistics I", "Player Army Mobility I", "Player Army Armor Plating I", "Player Army Firepower I", "Player Army Weapon Tuning I"], "engine": "Tiberian Sun + Vinifera", "game": "Dawn of the Tiberium Age", "game_exe_exists": true, "game_root": "C:\\Spiele\\Dawn of the Tiberium Age", "generated_map_enables_score_screen": true, "generated_map_has_difficulty_overlay": true, "launchvinifera_exists": true, "legacy_map_rules_isolated": true, "map_unit_preservation_policy_active": true, "missing_mission_maps": [], "mission_count": 81, "mission_counts_by_faction": {"Allies": 37, "GDI": 18, "Nod": 5, "Soviet": 21}, "no_unreportable_objective_checks": true, "objective_reward_mode": "victory-only until DTA map-specific objective hooks are verified", "original_map_unchanged": true, "passed": true, "player_armor_modifier_works": true, "player_firepower_modifier_works": true, "rules_ini_exists": true, "safe_reward_pool_only": true, "spawn_contract_valid": true, "static_configs_valid": true, "vinifera_exists": true, "window_icon_exists": true}
2026-08-12 02:31:45,455 | INFO | session=722ce803 | launcher_started | {"executable": "C:\\Users\\jessy\\AppData\\Local\\Python\\pythoncore-3.14-64\\python.exe", "frozen": false, "game_root": "C:\\Spiele\\Dawn of the Tiberium Age", "python": "3.14.6", "version": "0.1.0", "windows": "sys.getwindowsversion(major=10, minor=0, build=26200, platform=2, service_pack='')"}
2026-08-12 02:31:46,150 | INFO | session=722ce803 | launcher_message | {"message": "Loaded 81 missions."}
2026-08-12 02:31:46,152 | INFO | session=722ce803 | launcher_ready | {"has_seed": false, "missions": 81, "seed": ""}
